[2026-04-27T13:09:37] loading qwen35_9b for layerwise lens on cuda
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
[transformers] The fast path is not available because one of the required library is not installed. Falling back to torch implementation. To install follow https://github.com/fla-org/flash-linear-attention#installation and https://github.com/Dao-AILab/causal-conv1d
Loading weights:   0%|          | 0/427 [00:00<?, ?it/s]Loading weights: 100%|██████████| 427/427 [00:00<00:00, 15930.62it/s]
absolute idx=234 lang=en final=1.125
absolute idx=234 lang=zh final=-0.500
absolute idx=235 lang=en final=4.750
absolute idx=235 lang=zh final=2.312
absolute idx=260 lang=en final=4.750
absolute idx=260 lang=zh final=2.500
absolute idx=261 lang=en final=1.125
absolute idx=261 lang=zh final=-1.500
absolute idx=402 lang=en final=2.125
absolute idx=402 lang=zh final=0.625
absolute idx=403 lang=en final=4.500
absolute idx=403 lang=zh final=2.500
absolute idx=442 lang=en final=3.375
absolute idx=442 lang=zh final=2.125
absolute idx=445 lang=en final=3.000
absolute idx=445 lang=zh final=0.750
absolute idx=180091 lang=en final=4.000
absolute idx=180091 lang=zh final=2.125
absolute idx=180092 lang=en final=3.625
absolute idx=180092 lang=zh final=2.125
absolute idx=180093 lang=en final=3.500
absolute idx=180093 lang=zh final=2.000
absolute idx=180094 lang=en final=4.250
absolute idx=180094 lang=zh final=2.125
absolute idx=181000 lang=en final=4.500
absolute idx=181000 lang=zh final=2.188
absolute idx=181001 lang=en final=5.250
absolute idx=181001 lang=zh final=2.438
contrastive pair=qwen14_deriv_sum_zh_402_bad_403_valid lang=en order=bad_A final=0.125
contrastive pair=qwen14_deriv_sum_zh_402_bad_403_valid lang=en order=bad_B final=3.125
contrastive pair=qwen14_deriv_sum_zh_402_bad_403_valid lang=zh order=bad_A final=0.125
contrastive pair=qwen14_deriv_sum_zh_402_bad_403_valid lang=zh order=bad_B final=1.625
contrastive pair=qwen14_dabazhe_zh_en_445_bad_442_valid lang=en order=bad_A final=-0.625
contrastive pair=qwen14_dabazhe_zh_en_445_bad_442_valid lang=en order=bad_B final=1.250
contrastive pair=qwen14_dabazhe_zh_en_445_bad_442_valid lang=zh order=bad_A final=0.000
contrastive pair=qwen14_dabazhe_zh_en_445_bad_442_valid lang=zh order=bad_B final=0.500
contrastive pair=qwen35_discount_zh_234_bad_235_valid lang=en order=bad_A final=0.250
contrastive pair=qwen35_discount_zh_234_bad_235_valid lang=en order=bad_B final=1.500
contrastive pair=qwen35_discount_zh_234_bad_235_valid lang=zh order=bad_A final=0.500
contrastive pair=qwen35_discount_zh_234_bad_235_valid lang=zh order=bad_B final=1.000
contrastive pair=qwen35_ratio_zh_en_261_bad_260_valid lang=en order=bad_A final=2.875
contrastive pair=qwen35_ratio_zh_en_261_bad_260_valid lang=en order=bad_B final=2.750
contrastive pair=qwen35_ratio_zh_en_261_bad_260_valid lang=zh order=bad_A final=3.375
contrastive pair=qwen35_ratio_zh_en_261_bad_260_valid lang=zh order=bad_B final=1.875
contrastive pair=qwen14_e18_dabazhe_zh_en_92_bad_91_valid lang=en order=bad_A final=0.125
contrastive pair=qwen14_e18_dabazhe_zh_en_92_bad_91_valid lang=en order=bad_B final=0.250
contrastive pair=qwen14_e18_dabazhe_zh_en_92_bad_91_valid lang=zh order=bad_A final=0.125
contrastive pair=qwen14_e18_dabazhe_zh_en_92_bad_91_valid lang=zh order=bad_B final=0.000
contrastive pair=qwen14_e18_dabazhe_zh_en_92_bad_94_valid lang=en order=bad_A final=0.000
contrastive pair=qwen14_e18_dabazhe_zh_en_92_bad_94_valid lang=en order=bad_B final=-0.125
contrastive pair=qwen14_e18_dabazhe_zh_en_92_bad_94_valid lang=zh order=bad_A final=0.250
contrastive pair=qwen14_e18_dabazhe_zh_en_92_bad_94_valid lang=zh order=bad_B final=0.000
contrastive pair=qwen14_e18_dabazhe_final_wrong_93_bad_91_valid lang=en order=bad_A final=-1.125
contrastive pair=qwen14_e18_dabazhe_final_wrong_93_bad_91_valid lang=en order=bad_B final=1.375
contrastive pair=qwen14_e18_dabazhe_final_wrong_93_bad_91_valid lang=zh order=bad_A final=-0.500
contrastive pair=qwen14_e18_dabazhe_final_wrong_93_bad_91_valid lang=zh order=bad_B final=0.625
contrastive pair=qwen35_e18_discount_234_bad_181000_valid lang=en order=bad_A final=0.125
contrastive pair=qwen35_e18_discount_234_bad_181000_valid lang=en order=bad_B final=1.000
contrastive pair=qwen35_e18_discount_234_bad_181000_valid lang=zh order=bad_A final=0.375
contrastive pair=qwen35_e18_discount_234_bad_181000_valid lang=zh order=bad_B final=0.875
contrastive pair=qwen35_e18_discount_234_bad_181001_valid lang=en order=bad_A final=0.625
contrastive pair=qwen35_e18_discount_234_bad_181001_valid lang=en order=bad_B final=1.125
contrastive pair=qwen35_e18_discount_234_bad_181001_valid lang=zh order=bad_A final=0.375
contrastive pair=qwen35_e18_discount_234_bad_181001_valid lang=zh order=bad_B final=0.500
wrote /home/Awei/P02_multilingual_process_lens/results/E25_layerwise_verifier_lens/qwen35_9b_layerwise_verifier_lens.json; absolute=28 contrastive=36
